pref0,pref1,pref2,pref3,pref4,pref5,pref6,number
ham,ben,pei,mon,rug,pin,val,1
pin,ben,rug,mon,val,pei,ham,1
ham,mon,pei,rug,pin,ben,val,1
mon,ham,pin,pei,ben,rug,val,1
pin,ben,rug,pei,mon,ham,val,1
ham,ben,pei,mon,pin,rug,val,1
val,ham,rug,pei,mon,pin,ben,1
ham,pei,mon,rug,ben,pin,val,1
ben,val,ham,mon,pei,pin,rug,1
ham,ben,mon,rug,pei,val,pin,1
ben,ham,rug,pin,pei,mon,val,1
rug,pei,ham,pin,ben,val,mon,1
ham,val,mon,pin,pei,ben,rug,1
ham,mon,ben,pin,pei,rug,val,1
ben,ham,pei,val,rug,pin,mon,1
ben,pin,rug,ham,mon,pei,val,1
rug,ham,ben,val,mon,pin,pei,1
ham,mon,ben,val,pei,rug,pin,1
ham,mon,pei,ben,rug,pin,val,2
ham,rug,pin,ben,pei,mon,val,1
mon,ham,val,pei,rug,ben,pin,1
pin,mon,pei,ben,rug,ham,val,1
ham,mon,pin,rug,ben,pei,val,1
ham,pin,ben,rug,pei,mon,val,1
mon,ham,pei,rug,pin,ben,val,1
mon,ham,ben,rug,pei,val,pin,1
ham,mon,pin,ben,val,rug,pei,1
ham,pei,mon,pin,ben,rug,val,1
mon,pei,ben,pin,val,ham,rug,1
ham,pei,rug,mon,pin,val,ben,1
ham,pei,mon,rug,val,pin,ben,1
rug,mon,ben,pin,ham,val,pei,1
ham,pei,mon,ben,pin,rug,val,1
mon,ham,pin,ben,rug,pei,val,1
mon,pin,rug,ben,pei,val,ham,1
mon,pei,ham,ben,pin,rug,val,1
ham,mon,ben,rug,pin,pei,val,1
ham,rug,pei,mon,val,pin,ben,1
ham,pei,rug,ben,pin,mon,val,1
ham,rug,ben,mon,pei,pin,val,1
ham,ben,rug,mon,pei,val,pin,1
val,pin,pei,mon,rug,ham,ben,1
pei,ham,pin,mon,ben,val,rug,1
pei,ham,mon,pin,ben,rug,val,1
pei,val,rug,ham,pin,ben,mon,1
ham,mon,pei,pin,rug,val,ben,1
ham,mon,rug,pin,ben,pei,val,2
pei,ham,mon,pin,rug,ben,val,1
ham,mon,pei,rug,ben,pin,val,2
ham,mon,pei,val,rug,ben,pin,1
ham,mon,pei,pin,rug,ben,val,1
ham,mon,pin,ben,pei,rug,val,2
ham,ben,rug,mon,pei,pin,val,1
pei,ham,pin,rug,mon,val,ben,1
mon,ham,ben,pei,pin,rug,val,1
ham,mon,rug,pei,ben,pin,val,1
val,rug,pin,pei,mon,ham,ben,1
pei,ham,mon,ben,rug,pin,val,1
ham,pin,rug,pei,ben,mon,val,1
ham,ben,mon,pei,rug,pin,val,1
ham,val,mon,pin,ben,pei,rug,1
rug,val,pei,pin,ben,mon,ham,1
rug,pin,ham,mon,ben,pei,val,1
ben,ham,mon,pei,rug,pin,val,2
pei,val,rug,pin,mon,ham,ben,1
val,mon,ham,pei,pin,ben,rug,1
ham,pin,rug,ben,mon,pei,val,1
mon,ham,ben,pin,rug,pei,val,1
mon,ham,ben,pei,pin,val,rug,1
ben,ham,mon,pin,rug,pei,val,1
mon,pin,rug,ben,val,pei,ham,1
ham,rug,ben,pin,mon,pei,val,1
ben,rug,ham,pin,pei,mon,val,1
rug,pin,mon,ham,ben,val,pei,1
ham,mon,ben,pin,rug,pei,val,2
pei,ben,val,ham,pin,mon,rug,1
ham,ben,pei,val,pin,mon,rug,1
ham,pei,ben,mon,rug,pin,val,1
ham,rug,mon,val,pin,ben,pei,1
ham,mon,ben,pei,rug,pin,val,1
pin,rug,ham,mon,ben,pei,val,1
ham,pei,mon,ben,rug,pin,val,2
ben,pei,val,ham,rug,mon,pin,1
val,pin,rug,ben,pei,mon,ham,1
ham,val,pin,mon,rug,pei,ben,1
ham,mon,pei,ben,pin,rug,val,2
val,rug,ham,pin,ben,pei,mon,1
ham,mon,pei,ben,val,rug,pin,2
ham,pin,pei,mon,rug,val,ben,1
pei,pin,val,rug,ham,mon,ben,1
ham,mon,pin,pei,rug,val,ben,1
ham,pei,rug,ben,mon,pin,val,2
rug,mon,ham,pei,pin,val,ben,1
ham,rug,mon,pei,pin,ben,val,1
ham,ben,pei,rug,mon,pin,val,4
val,rug,ham,pin,pei,mon,ben,1
ham,ben,pin,mon,pei,rug,val,1
ham,pin,pei,mon,val,rug,ben,1
ham,val,pin,ben,mon,pei,rug,1
ham,pin,mon,pei,ben,rug,val,1
ham,rug,pei,pin,ben,mon,val,1
ham,pin,pei,ben,rug,mon,val,1
val,rug,ben,pin,pei,ham,mon,1
